sic_code,n,crude_high_share,age_standardised_high_share,adequate_age_cells
41100,570,0.0,0.0,True
41201,161,0.006211180124223602,0.005977226059361584,True
41202,360,0.005555555555555556,0.006630887934789372,True
43210,318,0.0,0.0,True
43220,285,0.0,0.0,True
43290,172,0.0,0.0,True
43320,122,0.0,0.0,True
43390,242,0.004132231404958678,0.002940193631500955,True
43999,285,0.0,0.0,True
45112,150,0.0,0.0,True
45200,282,0.0,0.0,True
46900,112,0.0,0.0,True
47110,191,0.0,,False
47190,148,0.006756756756756757,0.007216838913684163,True
47710,115,0.0,0.0,True
47910,614,0.003257328990228013,0.002090271249126563,True
47990,191,0.005235602094240838,0.005810978488838134,True
49320,113,0.0,,False
49410,347,0.002881844380403458,0.0037211825648683964,True
56101,189,0.0,0.0,True
56102,189,0.0,,False
56103,320,0.00625,,False
56302,142,0.007042253521126761,0.00673545233933511,True
59111,124,0.0,0.0,True
59112,117,0.0,,False
59200,106,0.018867924528301886,0.017199769771638354,True
62012,416,0.0,0.0,True
62020,858,0.004662004662004662,0.004129287350101694,True
62090,296,0.0,0.0,True
63990,113,0.0,0.0,True
64209,358,0.0,0.0,True
64999,145,0.0,0.0,True
68100,1281,0.00234192037470726,0.0024974868635320897,True
68209,1481,0.0013504388926401081,0.0010174001803168653,True
68310,145,0.0,0.0,True
68320,293,0.006825938566552901,0.007573471035532835,True
69201,344,0.0029069767441860465,0.004551840680663765,True
69202,113,0.0,0.0,True
70221,107,0.0,,False
70229,1348,0.002967359050445104,0.003315668501263121,True
71111,116,0.0,0.0,True
71122,161,0.0,,False
71129,162,0.006172839506172839,0.004961576753157861,True
73110,145,0.006896551724137931,0.008009727106236347,True
74100,212,0.0,0.0,True
74909,388,0.002577319587628866,0.0018112806240489646,True
74990,102,0.00980392156862745,,False
78109,113,0.0,,False
81300,106,0.0,0.0,True
82990,903,0.0022148394241417496,0.003219841518709938,True
85590,171,0.005847953216374269,0.005579675673071712,True
85600,111,0.0,,False
86101,103,0.009708737864077669,,False
86210,146,0.0,,False
86220,204,0.0,,False
86230,111,0.0,,False
86900,483,0.0,0.0,True
90010,106,0.0,,False
90030,135,0.0,0.0,True
93199,108,0.0,0.0,True
96020,427,0.00468384074941452,0.005884393535165804,True
96090,611,0.0032733224222585926,0.0028232663761377577,True
98000,572,0.0,0.0,True
99999,171,0.0,0.0,True
