accounts_overdue,companies,confirmation_overdue,confirmation_overdue_share,wilson_lower,wilson_upper
False,26535,1000,0.03768607499528924,0.03546085439550917,0.04004513413567741
True,250,95,0.38,0.32207737189789487,0.44155461998101164
